pref,min_wage,month_wage,n_starbucks, rate_starbucks,income,country
北海道,889,274.8,46,0.89,84.2,東北
青森県,822,245,11,0.9,71.6,東北
岩手県,821,249.6,8,0.67,77.6,東北
宮城県,853,277.9,30,1.31,93.4,東北
秋田県,822,247.5,8,0.85,70.1,東北
山形県,822,259.6,8,0.76,76.3,東北
福島県,828,269.5,13,0.72,88.6,東北
茨城県,879,295.4,36,1.26,91.3,関東
栃木県,882,289.4,27,1.41,96.6,関東
群馬県,865,282.4,23,1.19,96.0,関東
埼玉県,956,303.6,83,1.13,88.4,関東
千葉県,953,300.9,79,1.24,92.9,関東
東京都,1041,364.2,384,2.73,167.0,関東
神奈川県,1040,336.2,124,1.34,104.4,関東
新潟県,859,272.1,21,0.96,86.7,中部
富山県,877,277.6,11,1.07,94.0,中部
石川県,861,289.3,15,1.33,96.0,中部
福井県,858,277.7,8,1.05,97.6,中部
山梨県,866,281.5,12,1.49,90.7,中部
長野県,877,284.4,26,1.28,87.4,中部
岐阜県,880,287.6,21,1.07,88.9,中部
静岡県,913,285.3,40,1.11,102.2,中部
愛知県,955,317.3,135,1.8,118.8,中部
三重県,902,298.2,21,1.2,94.9,近畿
滋賀県,896,290.7,16,1.13,91.4,近畿
京都府,937,312.2,38,1.48,92.4,近畿
大阪府,992,326.9,135,1.53,104.4,近畿
兵庫県,928,307.9,58,1.05,93.4,近畿
奈良県,866,289.7,15,1.14,74.1,近畿
和歌山県,859,287.3,9,0.98,78.1,近畿
鳥取県,821,251.6,4,0.73,72.9,中国
島根県,824,259.0,4,0.6,75.4,中国
岡山県,862,277.6,18,0.96,89.5,中国
広島県,899,290.9,30,1.08,94.8,中国
山口県,857,282.5,9,0.68,86.2,中国
徳島県,824,269.7,5,0.7,81.3,四国
香川県,848,283.3,13,1.38,87.8,四国
愛媛県,821,267.7,11,0.83,79.8,四国
高知県,820,268.5,6,0.88,72.1,四国
福岡県,870,288.2,68,1.33,88.0,九州
佐賀県,821,255.2,11,1.36,76.7,九州
長崎県,821,263.8,11,0.85,69.7,九州
熊本県,821,262.4,17,0.98,72.9,九州
大分県,822,261.3,9,0.81,79.8,九州
宮崎県,821,244.6,8,0.75,72.2,九州
鹿児島県,821,261.1,9,0.57,72.5,九州
沖縄県,820,250.8,24,1.63,68.5,九州